host_id,host_name,host_since,is_superhost,response_rate,host_city,host_country,created_at
100000,Patrick Sanchez,2018-11-01,False,98,Lake Joyside,United States,2025-03-07
100001,Amanda Davis,2020-06-01,True,97,New Jamesside,United States,2022-10-31
100002,Kevin Pacheco,2016-07-27,False,76,Lake Roberto,United States,2024-03-30
100003,Tyler Rogers,2018-01-14,False,92,Davisstad,United States,2023-08-23
100004,Andrew Stevens,2018-08-01,True,97,Millerport,United States,2025-01-10
100005,Stacey Ward,2019-09-24,True,97,North Donnaport,United States,2025-12-27
100006,Sharon James,2024-03-04,False,91,Franciscostad,United States,2022-10-19
100007,Mia Sutton,2017-09-03,True,97,New Jessica,United States,2023-05-09
100008,Devin Schaefer,2025-12-07,False,75,Lake Mark,United States,2023-02-26
100009,Crystal Johnson,2021-10-29,True,94,Adamsborough,United States,2025-09-23
100010,Sherri Edwards,2024-12-14,False,95,Wilkersonmouth,United States,2026-05-06
100011,David Hoffman,2020-12-05,False,81,Hurstfurt,United States,2023-01-25
100012,Zachary Hicks,2018-01-02,True,100,Port Danielburgh,United States,2024-01-01
100013,Linda Cruz,2024-06-03,False,79,Tashatown,United States,2025-10-30
100014,Melanie Herrera,2020-12-30,True,92,Danielchester,United States,2025-05-09
100015,Troy Liu,2020-12-09,False,89,New Rita,United States,2023-02-18
100016,Sarah Romero,2019-11-04,False,72,West Kathryn,United States,2026-03-01
100017,Tammy Sellers,2021-12-22,False,76,Smithstad,United States,2024-10-02
100018,Dr. Cynthia Allen,2026-02-10,True,96,North Jessicaland,United States,2026-03-14
100019,Beth Keller,2025-10-24,True,98,West Allison,United States,2025-09-11
100020,Daniel Ryan,2019-11-18,False,87,Raymondstad,United States,2025-01-15
100021,Jocelyn Wright,2017-07-19,False,95,Andrewside,United States,2024-04-28
100022,Adrienne Zimmerman,2017-06-17,True,93,North Rebecca,United States,2023-06-10
100023,Jose Ramirez,2024-09-19,True,96,New David,United States,2026-02-12
100024,Laura Sanchez,2024-07-03,False,77,Leeville,United States,2026-06-10
100025,Jeff Owens,2017-05-19,True,90,North Richardmouth,United States,2025-04-06
100026,Danielle Lee,2024-02-03,True,97,South Isaiah,United States,2025-11-12
100027,Thomas Ramos,2025-10-27,False,99,North Deniseside,United States,2024-06-05
100028,Brandon Molina,2020-06-24,False,79,South Todd,United States,2026-01-06
100029,Stephanie Martin,2016-06-30,False,98,Bakermouth,United States,2023-05-16
100030,Tyler Cowan,2025-11-30,False,95,Mooreport,United States,2023-09-04
100031,Lauren Daniels,2021-10-17,False,79,North Breannahaven,United States,2023-05-22
100032,Brooke Yu,2017-10-27,False,83,North Brooke,United States,2026-05-16
100033,Jennifer David,2026-02-24,False,84,New Brooke,United States,2025-05-01
100034,Matthew Cunningham,2021-11-03,True,96,Jamesmouth,United States,2025-02-04
100035,Carlos Brewer,2024-03-28,False,99,Sarahland,United States,2023-06-23
100036,Zachary Ferrell,2017-09-15,True,91,New Joseph,United States,2022-07-02
100037,Benjamin Sanchez,2021-04-22,False,93,South Martha,United States,2026-06-06
100038,William Roman,2025-06-16,False,97,Lake Lisaport,United States,2025-06-14
100039,Teresa Taylor,2018-06-04,False,82,Lake Angelaview,United States,2026-06-04
100040,Michelle Harris,2020-12-13,True,90,Kington,United States,2023-08-29
